,TKNUM,time_SHIPPING,date_SHIPPING,LIEFERSCHEINNUMMER,SONDERFAHRT,NOTIZ,DISPLAYNAME,GELOESCHT,BEMERKUNG_GELOESCHT,ARCHIV,TRACKING_NUMMER,KLAERUNG_LS,KLAERUNG_TA,GEFAHRGUT,PO_NUMMER,ANGEKUENDIGT,unix_EINGANGSDATUM_UHRZEIT,datetime_EINGANGSDATUM_UHRZEIT,weekday_EINGANGSDATUM_UHRZEIT,date_EINGANGSDATUM_UHRZEIT,time_EINGANGSDATUM_UHRZEIT,unix_VERPACKT_DATUM_UHRZEIT,datetime_VERPACKT_DATUM_UHRZEIT,weekday_VERPACKT_DATUM_UHRZEIT,date_VERPACKT_DATUM_UHRZEIT,time_VERPACKT_DATUM_UHRZEIT,secs_VERPACKT_DATUM_UHRZEIT,unix_LIEFERSCHEIN_DATUM_UHRZEIT,datetime_LIEFERSCHEIN_DATUM_UHRZEIT,weekday_LIEFERSCHEIN_DATUM_UHRZEIT,date_LIEFERSCHEIN_DATUM_UHRZEIT,time_LIEFERSCHEIN_DATUM_UHRZEIT,secs_LIEFERSCHEIN_DATUM_UHRZEIT,unix_BEREITGESTELLT_DATUM_UHRZEIT,datetime_BEREITGESTELLT_DATUM_UHRZEIT,weekday_BEREITGESTELLT_DATUM_UHRZEIT,date_BEREITGESTELLT_DATUM_UHRZEIT,time_BEREITGESTELLT_DATUM_UHRZEIT,secs_BEREITGESTELLT_DATUM_UHRZEIT,unix_TA_DATUM_UHRZEIT,datetime_TA_DATUM_UHRZEIT,weekday_TA_DATUM_UHRZEIT,date_TA_DATUM_UHRZEIT,time_TA_DATUM_UHRZEIT,secs_TA_DATUM_UHRZEIT,unix_GELOESCHT_DATUM_UHRZEIT,datetime_GELOESCHT_DATUM_UHRZEIT,weekday_GELOESCHT_DATUM_UHRZEIT,date_GELOESCHT_DATUM_UHRZEIT,time_GELOESCHT_DATUM_UHRZEIT,secs_GELOESCHT_DATUM_UHRZEIT,unix_AUFTRAGANNAHME_DATUM_UHRZEIT,datetime_AUFTRAGANNAHME_DATUM_UHRZEIT,weekday_AUFTRAGANNAHME_DATUM_UHRZEIT,date_AUFTRAGANNAHME_DATUM_UHRZEIT,time_AUFTRAGANNAHME_DATUM_UHRZEIT,secs_AUFTRAGANNAHME_DATUM_UHRZEIT,number_AUFTRAGSNUMMER,STATUS=LS erstellt,STATUS=TA erstellt,STATUS=bereitgestellt,STATUS=in Bearbeitung,STATUS=in Klärung LS,STATUS=in Klärung TA,STATUS=verpackt,LAND=AT,LAND=AUT,LAND=BE,LAND=BR,LAND=CH,LAND=CN,LAND=CZ,LAND=DE,LAND=DK,LAND=DR,LAND=ES,LAND=FCA,LAND=FR,LAND=HU,LAND=IE,LAND=IN,LAND=IT,LAND=JP,LAND=KR,LAND=MX,LAND=NL,LAND=None,LAND=PL,LAND=RO,LAND=RU,LAND=TR,LAND=UK,LAND=US,DIENSTLEISTER=DHL,DIENSTLEISTER=None,DIENSTLEISTER=TNT,DIENSTLEISTER=UPS,PRIO=0,PRIO=1,PRIO=2,PRIO=3,VERSENDER=None,VERSENDER=PQA,VERSENDER=TEF33,VERSENDER=iSTAR (Sonderfahrt),category_AUFTRAGSNUMMER=DSGA,category_AUFTRAGSNUMMER=RBMANUSHIP,category_AUFTRAGSNUMMER=return,LAENGE_IN_CM,BREITE_IN_CM,HOEHE_IN_CM,GEWICHT_IN_KG,count_PACKSTUECKART=BEH,count_PACKSTUECKART=CAR,count_PACKSTUECKART=GBP,count_PACKSTUECKART=PAL,count_PACKSTUECKART=PKI,count_PACKSTUECKART=UNKNOWN,PACKAGE_COUNT,datetime_SHIPPING,unix_SHIPPING,weekday_SHIPPING,PROCESSING
0,3381408,121603,20240214,1247106830,1,DAP / Sonderfahrt,XXXXXX,0, ,1, ,0.0,0.0,0.0,xxx,"01.01.00 00:00:00,000000000",1707895860.0,2024-02-14 07:31:00,2,20240214,73100,1707895920.0,2024-02-14 07:32:00,2,20240214,73200,60.0,1707896820.0,2024-02-14 07:47:00,2,20240214,74700,960.0,1707901980.0,2024-02-14 09:13:00,2,20240214,91300,6120.0,1707903360.0,2024-02-14 09:36:00,2,20240214,93600,7500.0,-2209075200.0,1899-12-31,6,18991231,0,-3916971060.0,1707896280.0,2024-02-14 07:38:00,2,20240214,73800,420.0,216414,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,58,38,11,14.14,1,0,0,0,0,0,1,2024-02-14 12:16:03,1707912963,2,17103.0
1,3365692,74604,20231222,1237435126,0,FCA Selbstabholer UDER Alex.Mueller@uder-elektro.de,XXXXXX,0, ,1, ,1.0,0.0,0.0, ,"01.01.00 00:00:00,000000000",1702893600.0,2023-12-18 10:00:00,0,20231218,100000,1702893600.0,2023-12-18 10:00:00,0,20231218,100000,0.0,1702899060.0,2023-12-18 11:31:00,0,20231218,113100,5460.0,1702970460.0,2023-12-19 07:21:00,1,20231219,72100,76860.0,1702985580.0,2023-12-19 11:33:00,1,20231219,113300,91980.0,-2209075200.0,1899-12-31,6,18991231,0,-3911968800.0,1702898340.0,2023-12-18 11:19:00,0,20231218,111900,4740.0,97135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,40,30,30,14.74,0,0,0,0,1,0,1,2023-12-22 07:46:04,1703231164,4,337564.0
2,3360930,160651,20231204,1237432567,0,DAP-TNT,XXXXXX,0, ,1,318526665,0.0,0.0,,,,1701087840.0,2023-11-27 12:24:00,0,20231127,122400,1701087900.0,2023-11-27 12:25:00,0,20231127,122500,60.0,1701349260.0,2023-11-30 13:01:00,3,20231130,130100,261420.0,1701380220.0,2023-11-30 21:37:00,3,20231130,213700,292380.0,1701694140.0,2023-12-04 12:49:00,0,20231204,124900,606300.0,-2209075200.0,1899-12-31,6,18991231,0,-3910163040.0,1701348240.0,2023-11-30 12:44:00,3,20231130,124400,260400.0,96352,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,40,30,20,2.76,0,1,0,0,0,0,1,2023-12-04 16:06:51,1701706011,0,618171.0
3,3364494,154356,20231214,1237434469,0,FCA-TNT,XXXXXX,0, ,1,329885672,0.0,0.0,0.0, ,"01.01.00 00:00:00,000000000",1702086660.0,2023-12-09 01:51:00,5,20231209,15100,1702086720.0,2023-12-09 01:52:00,5,20231209,15200,60.0,1702462620.0,2023-12-13 10:17:00,2,20231213,101700,375960.0,1702518540.0,2023-12-14 01:49:00,3,20231214,14900,431880.0,1702547520.0,2023-12-14 09:52:00,3,20231214,95200,460860.0,-2209075200.0,1899-12-31,6,18991231,0,-3911161860.0,1702460940.0,2023-12-13 09:49:00,2,20231213,94900,374280.0,211162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,26,21,17,1.44,0,1,0,0,0,0,1,2023-12-14 15:43:56,1702568636,3,481976.0
4,3364495,154358,20231214,1237434462,0,FCA - 81 Kurswagen Stuttgart,XXXXXX,0, ,1,329878685,0.0,0.0,0.0, ,"01.01.00 00:00:00,000000000",1702086540.0,2023-12-09 01:49:00,5,20231209,14900,1702086600.0,2023-12-09 01:50:00,5,20231209,15000,60.0,1702461420.0,2023-12-13 09:57:00,2,20231213,95700,374880.0,1702518420.0,2023-12-14 01:47:00,3,20231214,14700,431880.0,1702547340.0,2023-12-14 09:49:00,3,20231214,94900,460800.0,-2209075200.0,1899-12-31,6,18991231,0,-3911161740.0,1702460760.0,2023-12-13 09:46:00,2,20231213,94600,374220.0,211140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,63,23,36,3.91,0,1,0,0,0,0,1,2023-12-14 15:43:58,1702568638,3,482098.0
5,3364496,154410,20231214,1237434453,0,DAP - TNT,XXXXXX,0, ,1,329824055,0.0,0.0,0.0, ,"01.01.00 00:00:00,000000000",1702075740.0,2023-12-08 22:49:00,4,20231208,224900,1702075740.0,2023-12-08 22:49:00,4,20231208,224900,0.0,1702460700.0,2023-12-13 09:45:00,2,20231213,94500,384960.0,1702518180.0,2023-12-14 01:43:00,3,20231214,14300,442440.0,1702546200.0,2023-12-14 09:30:00,3,20231214,93000,470460.0,-2209075200.0,1899-12-31,6,18991231,0,-3911150940.0,1702459020.0,2023-12-13 09:17:00,2,20231213,91700,383280.0,96891,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,55,36,8,6.38,0,1,0,0,0,0,1,2023-12-14 15:44:10,1702568650,3,492910.0
6,3364497,154414,20231214,1237434448,0,DAP TNT ,XXXXXX,0, ,1,329811238,0.0,0.0,0.0, ,"01.01.00 00:00:00,000000000",1702075380.0,2023-12-08 22:43:00,4,20231208,224300,1702075440.0,2023-12-08 22:44:00,4,20231208,224400,60.0,1702459020.0,2023-12-13 09:17:00,2,20231213,91700,383640.0,1702518060.0,2023-12-14 01:41:00,3,20231214,14100,442680.0,1702545960.0,2023-12-14 09:26:00,3,20231214,92600,470580.0,-2209075200.0,1899-12-31,6,18991231,0,-3911150580.0,1702458420.0,2023-12-13 09:07:00,2,20231213,90700,383040.0,96886,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,48,13,13,9.56,0,1,0,0,0,0,1,2023-12-14 15:44:14,1702568654,3,493274.0
7,3364498,154416,20231214,1237434443,0,DAP TNT,XXXXXX,0, ,1,329801244,0.0,0.0,0.0, ,"01.01.00 00:00:00,000000000",1702074960.0,2023-12-08 22:36:00,4,20231208,223600,1702075020.0,2023-12-08 22:37:00,4,20231208,223700,60.0,1702458420.0,2023-12-13 09:07:00,2,20231213,90700,383460.0,1702517880.0,2023-12-14 01:38:00,3,20231214,13800,442920.0,1702545900.0,2023-12-14 09:25:00,3,20231214,92500,470940.0,-2209075200.0,1899-12-31,6,18991231,0,-3911150160.0,1702458000.0,2023-12-13 09:00:00,2,20231213,90000,383040.0,96890,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,66,12,12,9.3,0,1,0,0,0,0,1,2023-12-14 15:44:16,1702568656,3,493696.0
8,3364499,154412,20231214,1237434442,0,DAP TNT ,XXXXXX,0, ,1,329817920,0.0,0.0,0.0, ,"01.01.00 00:00:00,000000000",1702074420.0,2023-12-08 22:27:00,4,20231208,222700,1702074420.0,2023-12-08 22:27:00,4,20231208,222700,0.0,1702458000.0,2023-12-13 09:00:00,2,20231213,90000,383580.0,1702512000.0,2023-12-14 00:00:00,3,20231214,0,437580.0,1702546140.0,2023-12-14 09:29:00,3,20231214,92900,471720.0,-2209075200.0,1899-12-31,6,18991231,0,-3911149620.0,1702457040.0,2023-12-13 08:44:00,2,20231213,84400,382620.0,96897,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,26,21,17,1.1,0,1,0,0,0,0,1,2023-12-14 15:44:12,1702568652,3,494232.0
9,3364500,154342,20231214,1237434433,0,DAP -TNT ,XXXXXX,0, ,1,329792026,0.0,0.0,0.0, ,"01.01.00 00:00:00,000000000",1702074000.0,2023-12-08 22:20:00,4,20231208,222000,1702074060.0,2023-12-08 22:21:00,4,20231208,222100,60.0,1702457040.0,2023-12-13 08:44:00,2,20231213,84400,383040.0,1702512000.0,2023-12-14 00:00:00,3,20231214,0,438000.0,1702545420.0,2023-12-14 09:17:00,3,20231214,91700,471420.0,-2209075200.0,1899-12-31,6,18991231,0,-3911149200.0,1702452000.0,2023-12-13 07:20:00,2,20231213,72000,378000.0,210934,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,26,21,17,2.26,0,1,0,0,0,0,1,2023-12-14 15:43:42,1702568622,3,494622.0
